"movie_id","original_title","required_filename","year","status","note"
"75","Brother Minister: The Assassination of Malcolm X (1994)","Brother Minister The Assassination of Malcolm X（1994）.jpg","1994","not_found","No poster found from TMDb"
"563","Stephen King's The Langoliers (1995)","Stephen Kings The Langoliers（1995）.jpg","1995","not_found","No poster found from TMDb"
"757","Across the Sea of Time (1995)","Across the Sea of Time（1995）.jpg","1995","not_found","No poster found from TMDb"
"912","U.S. Marshalls (1998)","US Marshalls（1998）.jpg","1998","not_found","No poster found from TMDb"
"1235","Big Bang Theory, The (1994)","Big Bang Theory The（1994）.jpg","1994","not_found","No poster found from TMDb"
"1345","Day the Sun Turned Cold, The (Tianguo niezi) (1994)","Day the Sun Turned Cold The Tianguo niezi（1994）.jpg","1994","not_found","No poster found from TMDb"
"1359","Boys in Venice (1996)","Boys in Venice（1996）.jpg","1996","not_found","No poster found from TMDb"
"1405","Boy's Life 2 (1997)","Boys Life 2（1997）.jpg","1997","not_found","No poster found from TMDb"
"1420","Gilligan's Island: The Movie (1998)","Gilligans Island The Movie（1998）.jpg","1998","not_found","No poster found from TMDb"
"1564","To Cross the Rubicon (1991)","To Cross the Rubicon（1991）.jpg","1991","not_found","No poster found from TMDb"
"1569","Vie est belle, La (Life is Rosey) (1987)","Vie est belle La Life is Rosey（1987）.jpg","1987","not_found","No poster found from TMDb"
"1591","Duoluo tianshi (1995)","Duoluo tianshi（1995）.jpg","1995","not_found","No poster found from TMDb"
"1630","Silence of the Palace, The (Saimt el Qusur) (1994)","Silence of the Palace The Saimt el Qusur（1994）.jpg","1994","not_found","No poster found from TMDb"
"1634","Etz Hadomim Tafus (Under the Domin Tree) (1994)","Etz Hadomim Tafus Under the Domin Tree（1994）.jpg","1994","not_found","No poster found from TMDb"
"1639","Bitter Sugar (Azucar Amargo) (1996)","Bitter Sugar Azucar Amargo（1996）.jpg","1996","not_found","No poster found from TMDb"
