"movie_id","original_title","required_filename","year","status","note"
"1","Toy Story (1995)","Toy Story（1995）.jpg","1995","exists","File already exists"
"2","GoldenEye (1995)","GoldenEye（1995）.jpg","1995","exists","File already exists"
"3","Four Rooms (1995)","Four Rooms（1995）.jpg","1995","exists","File already exists"
"4","Get Shorty (1995)","Get Shorty（1995）.jpg","1995","exists","File already exists"
"5","Copycat (1995)","Copycat（1995）.jpg","1995","exists","File already exists"
"6","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)","Shanghai Triad Yao a yao yao dao waipo qiao（1995）.jpg","1995","exists","File already exists"
"7","Twelve Monkeys (1995)","Twelve Monkeys（1995）.jpg","1995","exists","File already exists"
"8","Babe (1995)","Babe（1995）.jpg","1995","exists","File already exists"
"9","Dead Man Walking (1995)","Dead Man Walking（1995）.jpg","1995","exists","File already exists"
"10","Richard III (1995)","Richard III（1995）.jpg","1995","exists","File already exists"
"11","Seven (Se7en) (1995)","Seven Se7en（1995）.jpg","1995","exists","File already exists"
"12","Usual Suspects, The (1995)","Usual Suspects The（1995）.jpg","1995","exists","File already exists"
"13","Mighty Aphrodite (1995)","Mighty Aphrodite（1995）.jpg","1995","exists","File already exists"
"14","Postino, Il (1994)","Postino Il（1994）.jpg","1994","exists","File already exists"
"15","Mr. Holland's Opus (1995)","Mr Hollands Opus（1995）.jpg","1995","exists","File already exists"
"16","French Twist (Gazon maudit) (1995)","French Twist Gazon maudit（1995）.jpg","1995","exists","File already exists"
"17","From Dusk Till Dawn (1996)","From Dusk Till Dawn（1996）.jpg","1996","exists","File already exists"
"18","White Balloon, The (1995)","White Balloon The（1995）.jpg","1995","exists","File already exists"
"19","Antonia's Line (1995)","Antonias Line（1995）.jpg","1995","exists","File already exists"
"20","Angels and Insects (1995)","Angels and Insects（1995）.jpg","1995","exists","File already exists"
"21","Muppet Treasure Island (1996)","Muppet Treasure Island（1996）.jpg","1996","exists","File already exists"
"22","Braveheart (1995)","Braveheart（1995）.jpg","1995","exists","File already exists"
"23","Taxi Driver (1976)","Taxi Driver（1976）.jpg","1976","exists","File already exists"
"24","Rumble in the Bronx (1995)","Rumble in the Bronx（1995）.jpg","1995","exists","File already exists"
"25","Birdcage, The (1996)","Birdcage The（1996）.jpg","1996","exists","File already exists"
"26","Brothers McMullen, The (1995)","Brothers McMullen The（1995）.jpg","1995","exists","File already exists"
"27","Bad Boys (1995)","Bad Boys（1995）.jpg","1995","exists","File already exists"
"28","Apollo 13 (1995)","Apollo 13（1995）.jpg","1995","exists","File already exists"
"29","Batman Forever (1995)","Batman Forever（1995）.jpg","1995","exists","File already exists"
"30","Belle de jour (1967)","Belle de jour（1967）.jpg","1967","exists","File already exists"
"31","Crimson Tide (1995)","Crimson Tide（1995）.jpg","1995","exists","File already exists"
"32","Crumb (1994)","Crumb（1994）.jpg","1994","exists","File already exists"
"33","Desperado (1995)","Desperado（1995）.jpg","1995","exists","File already exists"
"34","Doom Generation, The (1995)","Doom Generation The（1995）.jpg","1995","exists","File already exists"
"35","Free Willy 2: The Adventure Home (1995)","Free Willy 2 The Adventure Home（1995）.jpg","1995","exists","File already exists"
"36","Mad Love (1995)","Mad Love（1995）.jpg","1995","exists","File already exists"
"37","Nadja (1994)","Nadja（1994）.jpg","1994","exists","File already exists"
"38","Net, The (1995)","Net The（1995）.jpg","1995","exists","File already exists"
"39","Strange Days (1995)","Strange Days（1995）.jpg","1995","exists","File already exists"
"40","To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo Thanks for Everything Julie Newmar（1995）.jpg","1995","exists","File already exists"
"41","Billy Madison (1995)","Billy Madison（1995）.jpg","1995","exists","File already exists"
"42","Clerks (1994)","Clerks（1994）.jpg","1994","exists","File already exists"
"43","Disclosure (1994)","Disclosure（1994）.jpg","1994","exists","File already exists"
"44","Dolores Claiborne (1994)","Dolores Claiborne（1994）.jpg","1994","exists","File already exists"
"45","Eat Drink Man Woman (1994)","Eat Drink Man Woman（1994）.jpg","1994","exists","File already exists"
"46","Exotica (1994)","Exotica（1994）.jpg","1994","exists","File already exists"
"47","Ed Wood (1994)","Ed Wood（1994）.jpg","1994","exists","File already exists"
"48","Hoop Dreams (1994)","Hoop Dreams（1994）.jpg","1994","exists","File already exists"
"49","I.Q. (1994)","IQ（1994）.jpg","1994","exists","File already exists"
"50","Star Wars (1977)","Star Wars（1977）.jpg","1977","exists","File already exists"
"51","Legends of the Fall (1994)","Legends of the Fall（1994）.jpg","1994","exists","File already exists"
"52","Madness of King George, The (1994)","Madness of King George The（1994）.jpg","1994","exists","File already exists"
"53","Natural Born Killers (1994)","Natural Born Killers（1994）.jpg","1994","exists","File already exists"
"54","Outbreak (1995)","Outbreak（1995）.jpg","1995","exists","File already exists"
"55","Professional, The (1994)","Professional The（1994）.jpg","1994","exists","File already exists"
"56","Pulp Fiction (1994)","Pulp Fiction（1994）.jpg","1994","exists","File already exists"
"57","Priest (1994)","Priest（1994）.jpg","1994","exists","File already exists"
"58","Quiz Show (1994)","Quiz Show（1994）.jpg","1994","exists","File already exists"
"59","Three Colors: Red (1994)","Three Colors Red（1994）.jpg","1994","exists","File already exists"
"60","Three Colors: Blue (1993)","Three Colors Blue（1993）.jpg","1993","exists","File already exists"
"61","Three Colors: White (1994)","Three Colors White（1994）.jpg","1994","exists","File already exists"
"62","Stargate (1994)","Stargate（1994）.jpg","1994","exists","File already exists"
"63","Santa Clause, The (1994)","Santa Clause The（1994）.jpg","1994","exists","File already exists"
"64","Shawshank Redemption, The (1994)","Shawshank Redemption The（1994）.jpg","1994","exists","File already exists"
"65","What's Eating Gilbert Grape (1993)","Whats Eating Gilbert Grape（1993）.jpg","1993","exists","File already exists"
"66","While You Were Sleeping (1995)","While You Were Sleeping（1995）.jpg","1995","exists","File already exists"
"67","Ace Ventura: Pet Detective (1994)","Ace Ventura Pet Detective（1994）.jpg","1994","exists","File already exists"
"68","Crow, The (1994)","Crow The（1994）.jpg","1994","exists","File already exists"
"69","Forrest Gump (1994)","Forrest Gump（1994）.jpg","1994","exists","File already exists"
"70","Four Weddings and a Funeral (1994)","Four Weddings and a Funeral（1994）.jpg","1994","exists","File already exists"
"71","Lion King, The (1994)","Lion King The（1994）.jpg","1994","exists","File already exists"
"72","Mask, The (1994)","Mask The（1994）.jpg","1994","exists","File already exists"
"73","Maverick (1994)","Maverick（1994）.jpg","1994","exists","File already exists"
"74","Faster Pussycat! Kill! Kill! (1965)","Faster Pussycat Kill Kill（1965）.jpg","1965","exists","File already exists"
"75","Brother Minister: The Assassination of Malcolm X (1994)","Brother Minister The Assassination of Malcolm X（1994）.jpg","1994","not_found","No poster found from TMDb"
"76","Carlito's Way (1993)","Carlitos Way（1993）.jpg","1993","exists","File already exists"
"77","Firm, The (1993)","Firm The（1993）.jpg","1993","exists","File already exists"
"78","Free Willy (1993)","Free Willy（1993）.jpg","1993","downloaded","https://image.tmdb.org/t/p/w500/9iBgd9gi9ztWiVcYSG6zl8wDFBN.jpg"
"79","Fugitive, The (1993)","Fugitive The（1993）.jpg","1993","exists","File already exists"
"80","Hot Shots! Part Deux (1993)","Hot Shots Part Deux（1993）.jpg","1993","downloaded","https://image.tmdb.org/t/p/w500/zh9EGK970GHo10ETclWBOjZVUOK.jpg"
"81","Hudsucker Proxy, The (1994)","Hudsucker Proxy The（1994）.jpg","1994","downloaded","https://image.tmdb.org/t/p/w500/bp5Kg9iT9oSXsECgDkNJVqvIrxX.jpg"
"82","Jurassic Park (1993)","Jurassic Park（1993）.jpg","1993","exists","File already exists"
"83","Much Ado About Nothing (1993)","Much Ado About Nothing（1993）.jpg","1993","exists","File already exists"
"84","Robert A. Heinlein's The Puppet Masters (1994)","Robert A Heinleins The Puppet Masters（1994）.jpg","1994","downloaded","https://image.tmdb.org/t/p/w500/8xJGom6fUqmVhJ7EWprZEHygUis.jpg"
"85","Ref, The (1994)","Ref The（1994）.jpg","1994","downloaded","https://image.tmdb.org/t/p/w500/ym7Kx3iDmalK8kXKvVQwnFYABEV.jpg"
"86","Remains of the Day, The (1993)","Remains of the Day The（1993）.jpg","1993","downloaded","https://image.tmdb.org/t/p/w500/uDGDtqSvuch324WnM7Ukdp1bCAQ.jpg"
